AL032669	2L52
Z73973	F25D1
Z78418	F25D7
U50197	F25E2
AF078157	F25E5
AF063008	F25F1
Z35599	F25F2
U88312	F25F6
U88171	F25F8
AF022973	F25G6
Z79754	F25H2
Z81068	F25H5
Z69360	F25H8
Z81069	F25H9
U56960	F25H10
U27312	F26A1
U27312	F26A1
Z78419	F26A3
U28736	F26A10
U80444	F26B1
Z47072	F26C11
Z81513	F26D2
Z80223	F26D10
AF068716	F26D11
U50070	F26D12
Z81070	F26E4
Z81514	F26F2
U12964	F26F4
U55373	F26F12
U23519	F26G1
AF022974	F26G5
Z81516	F26H9
Z81515	F26H11
AC006631	F27B3
U64838	F27B10
U80441	F27C1
Z68216	F27C8
Z79695	F27D4
U49829	F27D9
Z48582	F27E5
AF016413	F27E11
AC006632	F28A10
U64851	F28A12
Z81517	F28B1
AF003136	F28B3
U42834	F28B4
U29537	F28B12
Z75539	F28C1
Z68315	F28C6
U58739	F28C10
Z93380	F28C12
Z70684	F28D1
Z81518	F28D9
U40801	F28E10
U00045	F28F5
Z81071	F28F8
U70850	F28F9
Z93381	F28G4
U97013	F28H1
AL031621	F28H6
Z72508	F28H7
AF016416	F29A7
U70849	F29B9
AF067616	F29C4
Z83224	F29C6
Z81519	F29C12
Z75952	F29D10
Z73907	F29D11
Z73974	F29F11
Z78543	F29G6
AF016440	F29G9
Z81072	F30A10
U42437	F30B5
AF025455	F30D4
Z81073	F30F8
U29096	F30H5
U58742	F31A3
U58738	F31A9
Z81520	F31B9
Z50740	F31B12
Z92784	F31C3
Z92832	F31D4
U28941	F31D5
U40935	F31E3
U55856	F31E8
Z92785	F31E9
AF024503	F31F4
Z69884	F31F6
U97011	F31F7
U20864	F32A5
U40409	F32A6
Z83107	F32A7
Z81521	F32A11
Z81522	F32B4
AF003148	F32B5
Z81074	F32B6
AF016427	F32D1
Z74031	F32D8
U41992	F32E10
AL022271	F32F2
Z72509	F32G8
Z81523	F32H2
Z81524	F32H5
Z81525	F33A8
Z69790	F33C8
AF036702	F33D4
AF039720	F33D11
Z84574	F33E2
AF067622	F33E11
U41278	F33G12
Z48783	F33H1
Z81526	F33H2
AF040649	F33H12
AF025454	F34D6
Z34799	F34D10
Z46933	F34H10
U46675	F35A5
AC006633	F35B3
Z74032	F35B12
Z81076	F35C5
U40941	F35C8
Z49966	F35C11
Z81075	F35C12
U28741	F35D2
U52001	F35D6
U29381	F35D11
Z81528	F35E2
Z81529	F35E8
Z81527	F35E12
AF002198	F35F10
AC006634	F35F11
Z69637	F35G2
U55774	F35G8
Z46242	F35G12
Z36752	F35H8
U40934	F35H10
U41540	F35H12
Z81077	F36A2
U53333	F36A4
Z81530	F36D1
Z81531	F36D3
U53181	F36D4
Z81532	F36F2
AF067940	F36F12
Z47069	F36G3
Z81533	F36G9
Z68760	F36H1
Z81078	F36H2
U88184	F36H5
AF016668	F36H9
AF078790	F36H12
U00032	F37A4
Z35600	F37A8
Z80217	F37B1
AF047657	F37B4
Z54218	F37B12
AF036705	F37C4
U00033	F37C12
Z75540	F37D6
AF003132	F37E3
AF067212	F37F2
Z81534	F37H8
Z81535	F38A1
Z49938	F38A3
U70854	F38A5
